,Datatype,Modeltype,Featuretype,Scoretype,Spearman correlation coefficient (SP),Scipy Spearman correlation coefficent (SP),Confidence interval of 90% Spearman SP,Kendall correlation coefficient (tau),Predictive index (PI)
13,all,SVR,final,Affinity_Data_Value," -0.635
"," -0.6532744319397448 
"," [-0.707 ~ -0.592] 
"," -0.561
"," -0.658
"
14,all,SVR,final,pKd_pKi_pIC50," -0.362
"," -0.3106754119959475 
"," [-0.399 ~ -0.217] 
"," -0.342
"," -0.338
"
15,all,DecisionTree,final,delta_G," 0.200
"," 0.3560922383144021 
"," [0.265 ~ 0.441] 
"," 0.183
"," 0.193
"
16,all,DecisionTree,final,Affinity_Data_Value," -0.096
"," -0.08088700782748937 
"," [-0.18 ~ 0.02] 
"," -0.081
"," -0.086
"
17,all,DecisionTree,final,pKd_pKi_pIC50," -0.006
"," 0.02292147211266959 
"," [-0.078 ~ 0.123] 
"," 0.001
"," -0.011
"
18,all,RandomForest,final,delta_G," -0.139
"," -0.23992909431965412 
"," [-0.332 ~ -0.143] 
"," -0.123
"," -0.156
"
19,all,RandomForest,final,Affinity_Data_Value," 0.039
"," -0.007873084071316752 
"," [-0.108 ~ 0.093] 
"," 0.053
"," 0.043
"
20,all,RandomForest,final,pKd_pKi_pIC50," 0.025
"," 0.1221423134929037 
"," [0.022 ~ 0.22] 
"," 0.035
"," 0.010
"
21,ki,linearRegression,final,delta_G," -0.621
"," -0.642931208240456 
"," [-0.698 ~ -0.58] 
"," -0.547
"," -0.645
"
22,ki,linearRegression,final,Affinity_Data_Value," -0.630
"," -0.6382286118847061 
"," [-0.694 ~ -0.575] 
"," -0.561
"," -0.651
"
23,ki,linearRegression,final,pKd_pKi_pIC50," 0.616
"," 0.6395183720933934 
"," [0.576 ~ 0.695] 
"," 0.544
"," 0.637
"
24,ki,Ridge,final,delta_G," -0.625
"," -0.6541481822740463 
"," [-0.708 ~ -0.593] 
"," -0.554
"," -0.648
"
25,ki,Ridge,final,Affinity_Data_Value," -0.589
"," -0.6464321710898806 
"," [-0.701 ~ -0.584] 
"," -0.526
"," -0.605
"
26,ki,Ridge,final,pKd_pKi_pIC50," 0.621
"," 0.6522910416198574 
"," [0.59 ~ 0.706] 
"," 0.547
"," 0.642
"
27,ki,Lasso,final,delta_G," -0.621
"," -0.652284561715272 
"," [-0.706 ~ -0.59] 
"," -0.551
"," -0.644
"
28,ki,Lasso,final,Affinity_Data_Value," -0.614
"," -0.6478600828643296 
"," [-0.703 ~ -0.585] 
"," -0.547
"," -0.636
"
29,ki,Lasso,final,pKd_pKi_pIC50," 0.612
"," 0.6532946492420513 
"," [0.592 ~ 0.707] 
"," 0.547
"," 0.635
"
30,ki,ElasticNet,final,delta_G," -0.626
"," -0.654240456115343 
"," [-0.708 ~ -0.593] 
"," -0.551
"," -0.651
"
31,ki,ElasticNet,final,Affinity_Data_Value," -0.630
"," -0.6257182488958609 
"," [-0.683 ~ -0.56] 
"," -0.551
"," -0.665
"
32,ki,ElasticNet,final,pKd_pKi_pIC50," 0.630
"," 0.6534978590498508 
"," [0.592 ~ 0.708] 
"," 0.558
"," 0.653
"
33,ki,SVR,final,delta_G," 0.440
"," 0.42750935147917496 
"," [0.342 ~ 0.506] 
"," 0.367
"," 0.399
"
34,ki,SVR,final,Affinity_Data_Value," -0.626
"," -0.6559804400946269 
"," [-0.71 ~ -0.595] 
"," -0.551
"," -0.650
"
35,ki,SVR,final,pKd_pKi_pIC50," 0.084
"," 0.023481160127848785 
"," [-0.077 ~ 0.124] 
"," 0.093
"," 0.064
"
36,ki,DecisionTree,final,delta_G," 0.091
"," 0.03674297341490429 
"," [-0.064 ~ 0.137] 
"," 0.088
"," 0.072
"
37,ki,DecisionTree,final,Affinity_Data_Value," 0.012
"," -0.06649301285316046 
"," [-0.166 ~ 0.034] 
"," 0.009
"," 0.012
"
38,ki,DecisionTree,final,pKd_pKi_pIC50," -0.018
"," 0.006901088614041639 
"," [-0.094 ~ 0.107] 
"," -0.013
"," -0.013
"
39,ki,RandomForest,final,delta_G," 0.049
"," -0.15556929009120143 
"," [-0.252 ~ -0.056] 
"," 0.049
"," 0.059
"
40,ki,RandomForest,final,Affinity_Data_Value," 0.181
"," 0.23322550342791862 
"," [0.136 ~ 0.326] 
"," 0.151
"," 0.194
"
41,ki,RandomForest,final,pKd_pKi_pIC50," -0.153
"," -0.035245890383163565 
"," [-0.135 ~ 0.065] 
"," -0.126
"," -0.178
"
42,kd,linearRegression,final,delta_G," -0.612
"," -0.6226713977597843 
"," [-0.681 ~ -0.557] 
"," -0.530
"," -0.640
"
43,kd,linearRegression,final,Affinity_Data_Value," -0.646
"," -0.6638838501194035 
"," [-0.717 ~ -0.604] 
"," -0.568
"," -0.668
"
44,kd,linearRegression,final,pKd_pKi_pIC50," 0.614
"," 0.6109419928715769 
"," [0.544 ~ 0.67] 
"," 0.537
"," 0.643
"
45,kd,Ridge,final,delta_G," -0.607
"," -0.6440133523062255 
"," [-0.699 ~ -0.581] 
"," -0.533
"," -0.635
"
46,kd,Ridge,final,Affinity_Data_Value," -0.644
"," -0.6543117350657829 
"," [-0.708 ~ -0.593] 
"," -0.568
"," -0.668
"
47,kd,Ridge,final,pKd_pKi_pIC50," 0.612
"," 0.646517965026592 
"," [0.584 ~ 0.701] 
"," 0.540
"," 0.639
"
48,kd,Lasso,final,delta_G," -0.625
"," -0.6488302541788625 
"," [-0.703 ~ -0.587] 
"," -0.547
"," -0.646
"
49,kd,Lasso,final,Affinity_Data_Value," -0.623
"," -0.6492265651433083 
"," [-0.704 ~ -0.587] 
"," -0.554
"," -0.644
"
50,kd,Lasso,final,pKd_pKi_pIC50," 0.616
"," 0.6503193362525979 
"," [0.588 ~ 0.705] 
"," 0.544
"," 0.641
"
51,kd,ElasticNet,final,delta_G," -0.626
"," -0.6482670208722955 
"," [-0.703 ~ -0.586] 
"," -0.554
"," -0.651
"
52,kd,ElasticNet,final,Affinity_Data_Value," -0.630
"," -0.6356229126528067 
"," [-0.692 ~ -0.572] 
"," -0.561
"," -0.662
"
53,kd,SVR,final,delta_G," 0.562
"," 0.6081979372545087 
"," [0.541 ~ 0.668] 
"," 0.506
"," 0.531
"
54,kd,SVR,final,Affinity_Data_Value," -0.633
"," -0.6453225522286689 
"," [-0.7 ~ -0.583] 
"," -0.561
"," -0.663
"
55,kd,SVR,final,pKd_pKi_pIC50," -0.558
"," -0.6003891118512045 
"," [-0.661 ~ -0.532] 
"," -0.498
"," -0.526
"
56,kd,DecisionTree,final,delta_G," -0.091
"," -0.12376589539688848 
"," [-0.222 ~ -0.024] 
"," -0.080
"," -0.079
"
57,kd,DecisionTree,final,Affinity_Data_Value," 0.135
"," 0.02398907401415454 
"," [-0.077 ~ 0.124] 
"," 0.114
"," 0.106
"
58,kd,DecisionTree,final,pKd_pKi_pIC50," -0.057
"," 0.004867649570668636 
"," [-0.096 ~ 0.105] 
"," -0.049
"," -0.041
"
59,kd,RandomForest,final,delta_G," -0.014
"," -0.1787263955101177 
"," [-0.274 ~ -0.08] 
"," -0.021
"," -0.015
"
60,kd,RandomForest,final,Affinity_Data_Value," -0.046
"," -0.062644088785523 
"," [-0.162 ~ 0.038] 
"," -0.011
"," -0.033
"
61,kd,RandomForest,final,pKd_pKi_pIC50," 0.228
"," 0.23595069210037375 
"," [0.139 ~ 0.329] 
"," 0.186
"," 0.244
"
